                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.90788,                0.96278,                 1.3991,                0.84297,                0.68406,                0.79321,                0.57918,                 1.0314,                 1.0158,                  1.568,              0.0014258,              0.0014258,              0.0014258
                     61,                0.91226,                0.95453,                  1.397,                0.84879,                0.69964,                0.80229,                0.59875,                 1.0165,                 0.9778,                 1.5439,              0.0014159,              0.0014159,              0.0014159
                     62,                0.89982,                0.93016,                 1.3908,                0.85105,                 0.6942,                0.79907,                 0.5855,                 1.0454,                 1.0006,                 1.5574,               0.001406,               0.001406,               0.001406
                     63,                0.89073,                0.94549,                 1.3921,                0.82651,                0.70423,                0.80468,                0.58905,                 1.0102,                 0.9757,                 1.5308,              0.0013961,              0.0013961,              0.0013961
                     64,                 0.9002,                0.93956,                 1.3901,                0.83687,                0.68841,                0.80093,                0.58863,                 1.0549,                0.97653,                 1.5693,              0.0013862,              0.0013862,              0.0013862
                     65,                 0.9117,                0.94856,                 1.3966,                0.86852,                 0.6797,                 0.8115,                0.59717,                 1.0064,                0.96173,                 1.5272,              0.0013763,              0.0013763,              0.0013763
                     66,                0.88587,                0.92599,                 1.3773,                0.80089,                0.69275,                0.80044,                0.59013,                 1.0354,                0.97994,                 1.5568,              0.0013664,              0.0013664,              0.0013664
                     67,                0.89066,                0.93604,                 1.3897,                0.83775,                 0.7184,                0.81993,                0.59924,                 1.0174,                0.95247,                  1.532,              0.0013565,              0.0013565,              0.0013565
                     68,                0.88664,                0.92571,                 1.3763,                0.86407,                 0.6913,                0.81093,                0.60111,                 1.0297,                0.95394,                 1.5556,              0.0013466,              0.0013466,              0.0013466
                     69,                0.89333,                0.93429,                 1.3824,                0.82323,                0.72609,                0.81465,                0.59978,                 1.0099,                0.95881,                 1.5312,              0.0013367,              0.0013367,              0.0013367
                     70,                0.88306,                0.91592,                 1.3784,                0.80394,                0.71313,                0.80431,                0.59916,                 1.0014,                 0.9702,                 1.5212,              0.0013268,              0.0013268,              0.0013268
                     71,                0.88368,                0.91405,                 1.3756,                0.84795,                 0.7087,                0.80799,                0.59798,                 1.0083,                 0.9472,                 1.5212,              0.0013169,              0.0013169,              0.0013169
                     72,                0.88111,                0.91704,                 1.3798,                0.82807,                0.72464,                0.81272,                0.60348,                 1.0185,                0.94195,                 1.5345,               0.001307,               0.001307,               0.001307
                     73,                0.86943,                0.90511,                 1.3655,                0.83651,                0.71187,                0.81132,                0.59992,                 1.0118,                0.92723,                 1.5345,              0.0012971,              0.0012971,              0.0012971
                     74,                0.88034,                0.90324,                  1.372,                 0.8449,                0.69474,                0.81423,                0.60508,                 1.0259,                0.92414,                  1.543,              0.0012872,              0.0012872,              0.0012872
                     75,                0.85543,                0.88906,                 1.3511,                0.85089,                0.71954,                0.81691,                0.59939,                  1.026,                0.93933,                  1.525,              0.0012773,              0.0012773,              0.0012773
                     76,                0.87002,                 0.8985,                 1.3674,                 0.8612,                0.66541,                0.79851,                0.58958,                  1.011,                0.95352,                 1.5258,              0.0012674,              0.0012674,              0.0012674
                     77,                0.85591,                0.87246,                 1.3513,                0.89204,                0.67681,                0.80927,                0.59516,                 1.0379,                0.92711,                 1.5526,              0.0012575,              0.0012575,              0.0012575
